subject_code_1;subject_code_2;n_cooc;difficulty_score_both
05.566;05.568;691;0.023155
05.566;05.569;845;0.062722
05.566;05.570;438;0.105023
05.566;05.571;623;0.060995
05.566;05.572;608;0.03125
05.566;05.573;675;0.077037
05.566;05.574;168;0.005952
05.566;05.575;525;0.026667
05.566;05.576;43;0.093023
05.566;05.577;64;0
05.566;05.578;106;0.028302
05.566;05.579;187;0.02139
05.566;05.580;57;0.052632
05.566;05.581;43;0.093023
05.566;05.582;667;0.052474
05.566;05.583;47;0.106383
05.566;05.584;110;0.081818
05.566;05.585;641;0.032761
05.566;05.586;184;0.043478
05.566;05.587;60;0
05.566;05.588;19;0
05.566;05.589;332;0.042169
05.566;05.590;573;0.04014
05.566;05.591;272;0.011029
05.566;05.592;17;0.117647
05.566;05.593;187;0.016043
05.566;05.594;37;0
05.566;05.595;339;0.0059
05.566;05.596;243;0
05.566;05.597;100;0.05
05.566;05.598;64;0.03125
05.566;05.599;68;0.029412
05.566;05.600;69;0.014493
05.566;05.601;75;0.013333
05.566;05.604;107;0.037383
05.566;05.607;66;0.060606
05.566;05.611;742;0.03504
05.566;05.613;306;0.055556
05.566;05.614;105;0.057143
05.566;05.615;492;0
05.566;05.616;44;0.045455
05.566;22.400;27;0.074074
05.567;05.554;132;0
05.567;05.555;31;0.050314
05.567;05.556;24;0.085714
05.567;05.557;318;0.0375
05.567;05.558;35;0.012103
05.567;05.559;80;0.061947
05.567;05.560;1322;0
05.567;05.561;113;0
05.567;05.562;48;0.022624
05.567;05.563;24;0.052717
05.567;05.564;221;0.005618
05.567;05.565;1233;0
05.567;05.566;356;0.03252
05.567;05.567;0;0
05.567;05.568;681;0.016153
05.567;05.569;739;0.043302
05.567;05.570;665;0.037594
05.567;05.571;648;0.035494
05.567;05.572;1254;0.022329
05.567;05.573;790;0.032911
05.567;05.574;613;0.001631
05.567;05.575;1342;0.02459
05.567;05.576;41;0.04878
05.567;05.577;58;0
05.567;05.578;100;0.01
05.567;05.579;164;0.006098
05.567;05.580;48;0.020833
05.567;05.581;39;0.051282
05.567;05.582;556;0.039568
05.567;05.583;48;0.0625
05.567;05.584;109;0.036697
05.567;05.585;1806;0.007752
05.567;05.586;182;0.021978
05.567;05.587;56;0
05.567;05.588;30;0.033333
05.567;05.589;331;0.042296
05.567;05.590;1140;0.017544
05.567;05.591;739;0.00406
05.567;05.592;22;0.090909
05.567;05.593;156;0.00641
05.567;05.594;36;0.027778
05.567;05.595;1538;0.002601
05.567;05.596;658;0.00152
05.567;05.597;89;0.011236
05.567;05.598;65;0
05.567;05.599;67;0
05.567;05.600;58;0
05.567;05.601;73;0.013699
05.567;05.604;102;0
05.567;05.607;58;0.017241
05.567;05.611;685;0.021898
05.567;05.613;248;0.03629
05.567;05.614;199;0.015075
05.567;05.615;1924;0
05.567;05.616;49;0
05.567;22.400;33;0.030303
05.568;05.554;13;0
05.568;05.555;123;0.001674
05.568;05.556;26;0.005566
05.568;05.557;1195;0
05.568;05.558;539;0
05.568;05.559;69;0
05.568;05.560;55;0
05.568;05.561;55;0.034483
05.568;05.562;67;0.012346
05.568;05.563;58;0.040816
05.568;05.564;81;0.063158
05.568;05.565;49;0.020619
05.568;05.566;760;0.053279
05.568;05.567;194;0
05.568;05.568;0;0
05.568;05.569;820;0.040244
05.568;05.570;774;0.167959
05.568;05.571;564;0.067376
05.568;05.572;479;0.012526
05.568;05.573;727;0.053645
05.568;05.574;168;0
05.568;05.575;463;0.019438
05.568;05.576;31;0.032258
05.568;05.577;62;0
05.568;05.578;101;0
05.568;05.579;136;0
05.568;05.580;40;0.025
05.568;05.581;22;0.045455
05.568;05.582;456;0.024123
05.568;05.583;28;0.107143
05.568;05.584;72;0.013889
05.568;05.585;549;0.014572
05.568;05.586;106;0.028302
05.568;05.587;39;0
05.568;05.588;17;0
05.568;05.589;219;0.018265
05.568;05.590;613;0.040783
05.568;05.591;199;0
05.568;05.592;18;0
05.568;05.593;110;0.009091
05.568;05.594;39;0.051282
05.568;05.595;362;0.002762
05.568;05.596;240;0.008333
05.568;05.597;55;0
05.568;05.598;54;0
05.568;05.599;44;0
05.568;05.600;55;0.018182
05.568;05.601;52;0
05.568;05.604;80;0.0125
05.568;05.607;63;0.015873
05.568;05.611;1124;0.058719
05.568;05.613;220;0.013636
05.568;05.614;130;0.076923
05.568;05.615;413;0
05.568;05.616;29;0
05.568;22.400;37;0.081081
05.569;05.554;244;0.090909
05.569;05.555;1408;0.038462
05.569;05.556;44;0.083871
05.569;05.557;26;0.04267
05.569;05.558;1395;0.069666
05.569;05.559;914;0.016588
05.569;05.560;689;0.022177
05.569;05.561;422;0.109764
05.569;05.562;992;0.108108
05.569;05.563;1485;0.016743
05.569;05.564;962;0.078664
05.569;05.565;657;0.033932
05.569;05.566;928;0.006775
05.569;05.567;501;0.045343
05.569;05.568;738;0.035052
05.569;05.569;0;0
05.569;05.570;341;0.087977
05.569;05.571;623;0.080257
05.569;05.572;545;0.036697
05.569;05.573;1066;0.103189
05.569;05.574;157;0.006369
05.569;05.575;482;0.056017
05.569;05.576;37;0.054054
05.569;05.577;66;0.015152
05.569;05.578;97;0
05.569;05.579;111;0.009009
05.569;05.580;22;0
05.569;05.581;20;0.05
05.569;05.582;378;0.068783
05.569;05.583;18;0.111111
05.569;05.584;115;0.13913
05.569;05.585;562;0.033808
05.569;05.586;167;0.095808
05.569;05.587;54;0.092593
05.569;05.588;26;0
05.569;05.589;310;0.070968
05.569;05.590;814;0.062654
05.569;05.591;168;0.017857
05.569;05.592;21;0.095238
05.569;05.593;188;0.031915
05.569;05.594;36;0.055556
05.569;05.595;350;0.005714
05.569;05.596;242;0.016529
05.569;05.597;75;0
05.569;05.598;61;0
05.569;05.599;53;0
05.569;05.600;76;0.026316
05.569;05.601;51;0.058824
05.569;05.604;108;0.018519
05.569;05.607;71;0
05.569;05.611;819;0.075702
05.569;05.613;194;0.025773
05.569;05.614;84;0.047619
05.569;05.615;379;0
05.569;05.616;32;0
05.569;22.400;23;0
05.570;05.554;816;0.145487
05.570;05.555;485;0.019608
05.570;05.556;2227;0.012469
05.570;05.557;357;0.037267
05.570;05.558;401;0.006098
05.570;05.559;644;0.013917
05.570;05.560;164;0
05.570;05.561;503;0.018868
05.570;05.562;24;0.022727
05.570;05.563;53;0
05.570;05.564;88;0.028571
05.570;05.565;111;0
05.570;05.566;35;0.026022
05.570;05.567;20;0.0625
05.570;05.568;269;0
05.570;05.569;32;0.010101
05.570;05.570;0;0
05.570;05.571;482;0.19917
05.570;05.572;399;0.047619
05.570;05.573;708;0.142655
05.570;05.574;198;0.005051
05.570;05.575;474;0.061181
05.570;05.576;24;0.083333
05.570;05.577;38;0.026316
05.570;05.578;60;0.033333
05.570;05.579;127;0.015748
05.570;05.580;31;0.064516
05.570;05.581;17;0.058824
05.570;05.582;183;0.114754
05.570;05.583;21;0.047619
05.570;05.584;56;0.089286
05.570;05.585;597;0.050251
05.570;05.586;71;0.098592
05.570;05.587;25;0.08
05.570;05.588;18;0
05.570;05.589;176;0.102273
05.570;05.590;810;0.092593
05.570;05.591;241;0.008299
05.570;05.592;12;0.083333
05.570;05.593;71;0.028169
05.570;05.594;18;0
05.570;05.595;458;0.004367
05.570;05.596;195;0
05.570;05.597;43;0.023256
05.570;05.598;30;0
05.570;05.599;32;0.09375
05.570;05.600;37;0.054054
05.570;05.601;26;0.076923
05.570;05.604;51;0.058824
05.570;05.607;36;0.083333
05.570;05.611;555;0.102703
05.570;05.613;146;0.047945
05.570;05.614;2700;0.177037
05.570;05.615;491;0
05.570;05.616;31;0.032258
05.570;22.400;128;0.21875
05.571;05.554;61;0.061728
05.571;05.555;594;0
05.571;05.556;81;0
05.571;05.557;24;0.017341
05.571;05.558;19;0.032303
05.571;05.559;173;0.003676
05.571;05.560;712;0
05.571;05.561;272;0
05.571;05.562;13;0
05.571;05.563;87;0
05.571;05.564;31;0
05.571;05.565;478;0
05.571;05.566;195;0
05.571;05.567;34;0
05.571;05.568;39;0
05.571;05.569;30;0
05.571;05.570;38;0
05.571;05.571;0;0
05.571;05.572;572;0.054196
05.571;05.573;688;0.100291
05.571;05.574;188;0.005319
05.571;05.575;623;0.067416
