subject_code_1;subject_code_2;n_cooc;difficulty_score_both
05.562;05.569;1304;0.071319
05.562;05.570;3688;0.297722
05.562;05.571;1207;0.123447
05.562;05.572;1150;0.018261
05.562;05.573;1371;0.06054
05.562;05.574;362;0
05.562;05.575;1311;0.038902
05.562;05.576;84;0.059524
05.562;05.577;158;0
05.562;05.578;229;0.008734
05.562;05.579;403;0
05.562;05.580;74;0.027027
05.562;05.581;53;0.018868
05.562;05.582;554;0.061372
05.562;05.583;55;0.054545
05.562;05.584;125;0.04
05.562;05.585;1198;0.046745
05.562;05.586;161;0.074534
05.562;05.587;56;0.035714
05.562;05.588;127;0
05.562;05.589;364;0.049451
05.562;05.590;1524;0.076115
05.562;05.591;775;0.006452
05.562;05.592;47;0.021277
05.562;05.593;169;0.029586
05.562;05.594;63;0.031746
05.562;05.595;798;0.003759
05.562;05.596;447;0.013423
05.562;05.597;115;0
05.562;05.598;156;0
05.562;05.599;90;0.022222
05.562;05.600;90;0.022222
05.562;05.601;103;0.038835
05.562;05.604;103;0.048544
05.562;05.607;87;0.022989
05.562;05.611;1678;0.098927
05.562;05.613;593;0.006745
05.562;05.614;1901;0.211468
05.562;05.615;1382;0
05.562;05.616;76;0
05.562;22.400;68;0.205882
05.563;05.554;1280;0.000781
05.563;05.555;49;0
05.563;05.556;168;0.02381
05.563;05.557;58;0
05.563;05.558;1522;0.000657
05.563;05.559;880;0.005682
05.563;05.560;130;0
05.563;05.561;166;0
05.563;05.562;97;0
05.563;05.563;0;0
05.563;05.564;1194;0.072864
05.563;05.565;3721;0.191884
05.563;05.566;837;0.077658
05.563;05.567;1066;0.031895
05.563;05.568;876;0.074201
05.563;05.569;722;0.072022
05.563;05.570;3493;0.190953
05.563;05.571;1028;0.13035
05.563;05.572;667;0.044978
05.563;05.573;1387;0.130497
05.563;05.574;230;0.004348
05.563;05.575;905;0.049724
05.563;05.576;52;0.057692
05.563;05.577;69;0.043478
05.563;05.578;90;0.033333
05.563;05.579;187;0.016043
05.563;05.580;46;0.086957
05.563;05.581;39;0.051282
05.563;05.582;472;0.110169
05.563;05.583;33;0
05.563;05.584;90;0.055556
05.563;05.585;831;0.074609
05.563;05.586;106;0.084906
05.563;05.587;51;0.078431
05.563;05.588;90;0.011111
05.563;05.589;312;0.076923
05.563;05.590;1136;0.087148
05.563;05.591;406;0.017241
05.563;05.592;21;0
05.563;05.593;131;0.068702
05.563;05.594;38;0.052632
05.563;05.595;458;0.010917
05.563;05.596;281;0.021352
05.563;05.597;78;0
05.563;05.598;117;0.008547
05.563;05.599;45;0.022222
