subject_code_1;subject_code_2;n_cooc;difficulty_score_any
05.564;05.596;951;0.037855
05.564;05.597;161;0.124224
05.564;05.598;165;0.066667
05.564;05.599;104;0.086538
05.564;05.600;123;0.105691
05.564;05.601;114;0.201754
05.564;05.604;117;0.136752
05.564;05.607;79;0.113924
05.564;05.611;1190;0.136134
05.564;05.613;523;0.042065
05.564;05.614;345;0.173913
05.564;05.615;1984;0.017137
05.564;05.616;100;0.11
05.564;22.400;24;0.083333
05.565;05.554;1834;0.230643
05.565;05.555;2637;0.301858
05.565;05.556;2088;0.247605
05.565;05.557;1498;0.263685
05.565;05.558;1148;0.182056
05.565;05.559;3482;0.104825
05.565;05.560;2947;0.356295
05.565;05.561;1542;0.294423
05.565;05.562;2474;0.091754
05.565;05.563;3285;0.19239
05.565;05.564;1878;0.080937
05.565;05.565;0;0
05.565;05.566;1535;0.104886
05.565;05.567;2378;0.057611
05.565;05.568;1277;0.153485
05.565;05.569;1072;0.153918
05.565;05.570;3100;0.42
05.565;05.571;1031;0.188167
05.565;05.572;938;0.083156
05.565;05.573;2030;0.279803
05.565;05.574;384;0.0625
05.565;05.575;1164;0.116838
05.565;05.576;77;0.207792
05.565;05.577;123;0.03252
05.565;05.578;183;0.043716
05.565;05.579;329;0.051672
05.565;05.580;66;0.075758
05.565;05.581;49;0.183673
05.565;05.582;590;0.186441
05.565;05.583;53;0.207547
05.565;05.584;117;0.145299
05.565;05.585;1815;0.073829
05.565;05.586;167;0.125749
05.565;05.587;90;0.211111
05.565;05.588;113;0.00885
05.565;05.589;343;0.142857
05.565;05.590;1327;0.09269
05.565;05.591;599;0.096828
05.565;05.592;49;0.163265
05.565;05.593;147;0.07483
05.565;05.594;48;0.145833
05.565;05.595;1214;0.031301
05.565;05.596;658;0.030395
05.565;05.597;136;0.044118
05.565;05.598;155;0.019355
05.565;05.599;83;0.060241
05.565;05.600;96;0.0625
05.565;05.601;103;0.223301
05.565;05.604;111;0.117117
05.565;05.607;61;0.081967
05.565;05.611;1143;0.139983
05.565;05.613;519;0.038536
05.565;05.614;1174;0.293867
05.565;05.615;1780;0.029775
